Category,Distance,Angle,Dissimilarity,Correlation,Contrast,Energy,Homogeneity,ASM
blat,1,135.0,0.053826279527559,0.9053154961192248,0.053826279527559,0.6660450219597417,0.9730868602362206,0.4436159712773528
blat,3,0.0,0.135125,0.7603053450953582,0.135375,0.6185447102625242,0.9324625,0.38259755859375
blat,3,45.0,0.1878730158730159,0.6629168690943038,0.1911746031746032,0.5904334563815926,0.9063936507936508,0.3486116664147141
blat,3,90.0,0.1706456692913385,0.6952211790393066,0.1734173228346456,0.5985883656537796,0.9149543307086616,0.358308031496063
blat,3,135.0,0.135125,0.7603053450953582,0.135375,0.6185447102625242,0.9324625,0.38259755859375
blat,5,0.0,0.1808307926829268,0.6761019997473706,0.1818470528455284,0.5945618236111745,0.9096862296747964,0.3535037620958454
blat,5,45.0,0.2161935483870967,0.6117607801396301,0.2194193548387096,0.5767662155759131,0.8922258064516129,0.3326592674297606
blat,5,90.0,0.1975166410650282,0.6466297808914587,0.2004608294930875,0.5850481804892848,0.9015360983102918,0.3422813734938227
blat,5,135.0,0.1808307926829268,0.6761019997473706,0.1818470528455284,0.5945618236111745,0.9096862296747964,0.3535037620958454
blat,1,0.0,0.0406619094488188,0.9087556376705286,0.0406619094488188,0.7703708652404941,0.9796690452755906,0.5934712700113876
blat,1,45.0,0.0628681257362514,0.8589286444080021,0.0628681257362514,0.7585219483626583,0.9685659371318744,0.5753555461478833
blat,1,90.0,0.0448449803149606,0.8986534181531908,0.0448449803149606,0.7695587661200346,0.9775775098425198,0.5922206945121901
blat,1,135.0,0.0406619094488188,0.9087556376705286,0.0406619094488188,0.7703708652404941,0.9796690452755906,0.5934712700113876
blat,3,0.0,0.1023125,0.773566980245824,0.1023125,0.7350805586698473,0.94884375,0.5403434277343749
blat,3,45.0,0.1187301587301587,0.7338077088889834,0.1187301587301587,0.7295139154149676,0.9406349206349206,0.5321905527840765
blat,3,90.0,0.113763779527559,0.7431499531967215,0.113763779527559,0.7334363695494084,0.9431181102362204,0.5379289081778164
blat,3,135.0,0.1023125,0.773566980245824,0.1023125,0.7350805586698473,0.94884375,0.5403434277343749
